kcdbCode,categoryValue,subCategoryValue,analyteValue,analyteMatrix,quantityValue,cmc_low,cmc_high,cmc_unit,unc_low,unc_high,unc_unit,uncertaintyMode,coverageFactor,confidenceLevel,mechanism,publicationDate,status
APMP-QM-KR-0000044R-1,Gases,Environmental,dimethyl sulfide,nitrogen,Amount-of-substance fraction,100.0,1000.0,µmol/mol,0.6,0.6,%,Relative,2.0,95.0,CRM 112-03-2505M,2018-09-26,Published
APMP-QM-KR-00000452-1,Gases,Environmental,helium,neon,Amount-of-substance fraction,0.1,96.0,cmol/mol,0.2,0.2,%,Relative,2.0,95.0,CRM-112-01-00000,2018-09-26,Published
APMP-QM-KR-00000459-1,Gases,Environmental,methanethiol,methane,Amount-of-substance fraction,10.0,100.0,µmol/mol,0.6,0.6,%,Relative,2.0,95.0,CRM 112-03-2504N,2018-09-26,Published
APMP-QM-KR-0000045B-1,Gases,Environmental,carbonyl sulfide,nitrogen,Amount-of-substance fraction,0.5,10.0,µmol/mol,1.2,0.6,%,Relative,2.0,95.0,CRM112-03-724,2018-09-26,Published
APMP-QM-KR-0000045C-1,Gases,Environmental,carbon disulfide,nitrogen,Amount-of-substance fraction,0.5,10.0,µmol/mol,1.2,0.6,%,Relative,2.0,95.0,CRM112-03-727,2018-09-26,Published
APMP-QM-KR-0000045D-1,Gases,Environmental,dimethyl sulfide,nitrogen,Amount-of-substance fraction,0.5,10.0,µmol/mol,1.2,0.6,%,Relative,2.0,95.0,CRM112-03-733,2018-09-26,Published
APMP-QM-KR-0000045E-1,Gases,Environmental,ethyl methyl sulfide,nitrogen,Amount-of-substance fraction,0.5,10.0,µmol/mol,1.2,0.6,%,Relative,2.0,95.0,CRM112-03-790,2018-09-26,Published
APMP-QM-KR-0000045H-1,Gases,Environmental,ethanethiol,nitrogen,Amount-of-substance fraction,0.5,10.0,µmol/mol,1.2,0.6,%,Relative,2.0,95.0,CRM112-03-780,2018-09-26,Published
APMP-QM-KR-0000045J-1,Gases,Environmental,1-propanethiol,nitrogen,Amount-of-substance fraction,0.5,10.0,µmol/mol,1.2,0.6,%,Relative,2.0,95.0,CRM112-03-795,2018-09-26,Published
APMP-QM-KR-0000045K-1,Gases,Environmental,2-methyl-2-propanethiol,nitrogen,Amount-of-substance fraction,0.5,10.0,µmol/mol,1.2,0.6,%,Relative,2.0,95.0,CRM112-03-739,2018-09-26,Published
APMP-QM-KR-0000045P-1,Gases,Environmental,ethyl methyl sulfide,nitrogen,Amount-of-substance fraction,10.0,100.0,µmol/mol,0.6,0.6,%,Relative,2.0,95.0,CRM112-03-791,2018-09-26,Published
APMP-QM-KR-0000045T-1,Gases,Environmental,2-propanethiol,nitrogen,Amount-of-substance fraction,10.0,100.0,µmol/mol,0.6,0.6,%,Relative,2.0,95.0,CRM112-03-740,2018-09-26,Published
APMP-QM-KR-0000045U-1,Gases,Environmental,1-propanethiol,nitrogen,Amount-of-substance fraction,10.0,100.0,µmol/mol,0.6,0.6,%,Relative,2.0,95.0,CRM112-03-795,2018-09-26,Published
APMP-QM-KR-0000045W-1,Gases,Environmental,tetrahydrothiophene,nitrogen,Amount-of-substance fraction,10.0,100.0,µmol/mol,0.6,0.6,%,Relative,2.0,95.0,CRM112-03-738,2018-09-26,Published
APMP-QM-KR-0000045X-1,Gases,Fuel,carbonyl sulfide,methane,Amount-of-substance fraction,0.5,10.0,µmol/mol,1.2,0.6,%,Relative,2.0,95.0,CRM112-03-724,2018-09-26,Published
APMP-QM-KR-0000045Y-1,Gases,Fuel,carbon disulfide,methane,Amount-of-substance fraction,0.5,10.0,µmol/mol,1.2,0.6,%,Relative,2.0,95.0,CRM112-03-727,2018-09-26,Published
APMP-QM-KR-0000045Z-1,Gases,Fuel,dimethyl sulfide,methane,Amount-of-substance fraction,0.5,10.0,µmol/mol,1.2,0.6,%,Relative,2.0,95.0,CRM112-03-733,2018-09-26,Published
APMP-QM-KR-00000460-1,Gases,Fuel,ethyl methyl sulfide,methane,Amount-of-substance fraction,0.5,10.0,µmol/mol,1.2,0.6,%,Relative,2.0,95.0,CRM112-03-790,2018-09-26,Published
APMP-QM-KR-00000462-1,Gases,Fuel,methanethiol,methane,Amount-of-substance fraction,0.5,10.0,µmol/mol,1.2,0.6,%,Relative,2.0,95.0,CRM112-03-780,2018-09-26,Published
APMP-QM-KR-00000464-1,Gases,Fuel,2-propanethiol,methane,Amount-of-substance fraction,0.5,10.0,µmol/mol,1.2,0.6,%,Relative,2.0,95.0,CRM112-03-739,2018-09-26,Published
APMP-QM-KR-00000468-1,Gases,Fuel,carbonyl sulfide,methane,Amount-of-substance fraction,10.0,100.0,µmol/mol,0.6,0.6,%,Relative,2.0,95.0,CRM112-03-725,2018-09-26,Published
APMP-QM-KR-0000046C-1,Gases,Fuel,diethyl sulfide,methane,Amount-of-substance fraction,10.0,100.0,µmol/mol,0.6,0.6,%,Relative,2.0,95.0,CRM112-03-796,2018-09-26,Published
APMP-QM-KR-0000046H-1,Gases,Environmental,formaldehyde,nitrogen,Amount-of-substance fraction,1.0,10.0,µmol/mol,2.6,1.3,%,Relative,2.0,95.0,"CRM112-03-744, CRM112-03-745",2018-09-26,Published
APMP-QM-KR-000004EW-1,Food,Contaminants,lead,milk powder,Mass fraction,2.0,5.0,mg/kg,0.1,0.03,mg/kg,Absolute,2.0,95.0,Assignment of reference values for KOLAS proficiency test,2007-04-06,Published
APMP-QM-KR-000004EZ-1,Food,Nutritional constituents,copper,oyster tissue,Mass fraction,100.0,500.0,mg/kg,0.5,1.5,%,Absolute,2.0,95.0,Assignment of reference values for KOLAS proficiency test,2005-04-29,Published
APMP-QM-KR-000004FW-1,Food,Contaminants,cadmium,rice,Mass fraction,0.1,100.0,mg/kg,1.0,5.0,%,Relative,2.0,95.0,"CRM 108-01-003, CRM 108-01-004, and PT providing",2013-06-13,Published
APMP-QM-KR-000004G0-1,Food,Nutritional constituents,calcium,soybean,Mass fraction,1.0,10.0,g/kg,1.0,5.0,%,Relative,2.0,95.0,"CRM 108-01-005, PT providing",2013-06-13,Published
APMP-QM-KR-000004G4-1,Food,Nutritional constituents,zinc,soybean,Mass fraction,1.0,1000.0,mg/kg,1.0,5.0,%,Relative,2.0,95.0,"CRM 108-01-005, PT providing",2013-06-13,Published
APMP-QM-KR-000004GK-1,Food,Contaminants,lead,tomato paste,Mass fraction,0.1,100.0,mg/kg,1.0,5.0,%,Relative,2.0,95.0,"CRM 108-05-005, PT providing",2013-06-13,Published
APMP-QM-KR-000004GM-1,Food,Nutritional constituents,copper,chinese cabbage,Mass fraction,1.0,1000.0,mg/kg,1.0,5.0,%,Relative,2.0,95.0,"CRM 108-05-002, PT providing",2013-06-13,Published
APMP-QM-KR-000004GP-1,Food,Contaminants,cadmium,ginseng,Mass fraction,0.1,100.0,mg/kg,1.0,5.0,%,Relative,2.0,95.0,"CRM 108-10-006, PT providing",2013-06-13,Published
APMP-QM-KR-000004GT-1,Food,Nutritional constituents,zinc,infant formula,Mass fraction,10.0,200.0,mg/kg,1.0,5.0,%,Relative,2.0,95.0,"CRM 108-02-002, PT providing",2013-06-13,Published
APMP-QM-KR-000004GZ-1,Food,Contaminants,lead,tea leaf,Mass fraction,0.05,100.0,mg/kg,1.0,5.0,%,Relative,2.0,95.0,"CRM 108-10-009, PT providing",2013-06-13,Published
APMP-QM-KR-000004H2-1,Food,Contaminants,chromium,hijiki,Mass fraction,1.0,1000.0,mg/kg,1.0,5.0,%,Relative,2.0,95.0,"CRM 108-10-002, PT providing",2013-06-13,Published
APMP-QM-KR-000004H5-1,Food,Nutritional constituents,zinc,herb,Mass fraction,1.0,1000.0,mg/kg,1.0,5.0,%,Relative,2.0,95.0,"CRM 108-10-014, PT providing",2013-06-13,Published
APMP-QM-KR-000004H8-1,Food,Contaminants,arsenic,hijiki,Mass fraction,1.0,100.0,mg/kg,5.0,10.0,%,Relative,2.0,95.0,"CRM 108-10-002, PT providing",2013-12-19,Published
APMP-QM-KR-000004HB-1,Food,Contaminants,carbofuran,kimchi cabbage,Mass fraction (dry mass correction),0.01,50.0,mg/kg,10.0,1.0,%,Relative,2.0,95.0,CRM 108-05-006,2018-09-26,Published
APMP-QM-KR-000004HC-1,Food,Contaminants,patulin,apple juice,Mass fraction,3.0,100.0,µg/kg,5.0,2.0,%,Relative,2.0,95.0,CRM 108-05-008,2018-09-26,Published
APMP-QM-KR-000004HE-1,Food,Nutritional constituents,thiamin,dairy products,Mass fraction (dry mass base),0.5,300.0,mg/kg,5.0,1.0,%,Relative,2.0,95.0,CRM 108-02-003,2018-09-26,Published
APMP-QM-KR-000004HU-1,Food,Nutritional constituents,pyridoxine,food supplement,Mass fraction (dry mass base),0.1,300.0,g/kg,10.0,1.0,%,Relative,2.0,95.0,CRM 108-10-019,2018-09-26,Published
APMP-QM-KR-000004I0-1,Food,Nutritional constituents,alpha-linolenic acid,dairy products,Mass fraction (dry mass base),0.001,10.0,g/kg,10.0,1.0,%,Relative,2.0,95.0,CRM 108-02-003,2018-09-26,Published
APMP-QM-KR-000004I3-1,Food,Nutritional constituents,eicosapentaenoic acid,dairy products,Mass fraction (dry mass base),1.0,1000.0,mg/kg,10.0,1.0,%,Relative,2.0,95.0,CRM 108-02-003,2018-09-26,Published
APMP-QM-KR-000004I4-1,Food,Nutritional constituents,docosahexanoic cid,dairy products,Mass fraction (dry mass base),1.0,1000.0,mg/kg,10.0,1.0,%,Relative,2.0,95.0,CRM 108-02-003,2018-09-26,Published
APMP-QM-KR-000004I9-1,Food,Nutritional constituents,cis-phylloquinone,cabbage,Mass fraction (dry mass base),0.05,500.0,mg/kg,20.0,1.0,%,Relative,2.0,95.0,CRM 108-05-011,2018-09-26,Published
APMP-QM-KR-000004N9-1,Biological fluids and materials,Blood serum,glucose,serum (frozen),Mass fraction,0.7,4.0,mg/g,1.5,1.0,%,Absolute,2.0,95.0,Certification service,2007-04-06,Published
APMP-QM-KR-000004NA-1,Biological fluids and materials,Blood serum,d-glucose,human serum (frozen),Mass fraction,200.0,2000.0,mg/kg,5.0,30.0,mg/kg,Absolute,2.3,95.0,KRISS CRM 111-01-A,2008-12-15,Published
APMP-QM-KR-000004NM-1,Biological fluids and materials,Blood serum,d-glucose,human serum (lyophilized),Mass fraction,200.0,2000.0,mg/kg,5.0,30.0,mg/kg,Absolute,2.3,95.0,KRISS CRM 111-04-A,2008-12-15,Published
APMP-QM-KR-000004NQ-1,Biological fluids and materials,Blood serum,cortisol,human serum (frozen or lyophilized),Mass fraction,50.0,500.0,µg/kg,2.5,2.0,%,Relative,2.0,95.0,"KRISS CRM 111-01-A, KRISS CRM 111-02-A, KRISS CRM 111-03-A, KRISS CRM 111-04-A",2012-09-06,Published
APMP-QM-KR-00000JNT-1,Gases,"Other than high purity, environmental, fuel, forensic, or medical",water,nitrogen or air,Amount-of-substance fraction,10.0,100.0,µmol/mol,1.3,1.3,%,Relative,2.0,95.0,"CRM 112-01-601, CRM 112-01-603, calibration",2020-03-06,Published
APMP-QM-KR-00000JWL-1,Advanced materials,Polymers and plastics,gamma-HBCD,Plastic (ABS),Mass fraction,50.0,500.0,mg/kg,5.0,2.0,%,Relative,2.0,95.0,CRM 113-03-008,2020-04-08,Published
APMP-QM-KR-00000JWU-1,Advanced materials,Polymers and plastics,butyl benzyl phthalate,Plastic (PVC),Mass fraction,300.0,1000.0,mg/kg,5.0,2.0,%,Relative,2.0,95.0,CRM 113-03-006,2020-04-08,Published
APMP-QM-KR-00000444-2,Gases,"Other than high purity, environmental, fuel, forensic, or medical",methane,nitrogen,Amount-of-substance fraction,1.8,500000.0,µmol/mol,0.3,0.3,%,Relative,2.0,95.0,CRM 112-1-2851P,2020-09-21,Published
APMP-QM-KR-00000LNM-1,Gases,"Other than high purity, environmental, fuel, forensic, or medical",ethane,nitrogen or air,Amount-of-substance fraction,0.03,10.0,µmol/mol,100.0,0.3,%,Relative,2.0,95.0,CRM 112-01-057,2020-09-21,Published
APMP-QM-KR-0000042H-2,Gases,Environmental,chloroform,nitrogen,Amount-of-substance fraction,20.0,100.0,nmol/mol,5.0,2.0,%,Relative,2.0,95.0,CRM 112-03-701,2021-10-25,Published
APMP-QM-KR-0000046J-2,Gases,Environmental,3-carene,nitrogen or synthetic air,Amount-of-substance fraction,1.0,500.0,nmol/mol,2.7,2.7,%,Relative,2.0,95.0,CRM109-02-003,2021-10-25,Published
APMP-QM-KR-0000046P-2,Gases,Environmental,methanethiol,nitrogen,Amount-of-substance fraction,1.0,100.0,µmol/mol,6.0,0.6,%,Relative,2.0,95.0,"CRM112-03-759, CRM112-03-760",2021-10-25,Published
APMP-QM-KR-00000470-2,Gases,Fuel,propene,LPG,Amount-of-substance fraction,1.0,15.0,cmol/mol,0.8,0.8,%,Relative,2.0,95.0,"CRM112-01-361, CRM112-01-730",2021-10-25,Published
APMP-QM-KR-00000477-2,Gases,"Other than high purity, environmental, fuel, forensic, or medical",argon,noble gases,Amount-of-substance fraction,0.1,96.0,cmol/mol,0.2,0.2,%,Relative,2.0,95.0,"CRM112-01-039, CRM112-040, CRM112-03-041, CRM112-03-042, CRM112-03-043, CRM112-03-044, CRM112-01-701",2021-10-25,Published
APMP-QM-KR-00000478-2,Gases,"Other than high purity, environmental, fuel, forensic, or medical",krypton,noble gases,Amount-of-substance fraction,0.1,96.0,cmol/mol,0.2,0.2,%,Relative,2.0,95.0,"CRM112-01-039, CRM112-040, CRM112-03-041, CRM112-03-042, CRM112-03-043, CRM112-03-044, CRM112-01-701",2021-10-25,Published
APMP-QM-KR-000003XF-5,Gases,"Other than high purity, environmental, fuel, forensic, or medical",hydrogen,nitrogen,Amount-of-substance fraction,1e-05,0.5,mol/mol,2.0,1.0,%,Relative,2.0,95.0,"CRM 112-01-2101N, CRM 112-01-2101O, CRM 112-01-2101P",2022-08-24,Published
APMP-QM-KR-000003XJ-2,Gases,"Other than high purity, environmental, fuel, forensic, or medical",nitrogen,helium,Amount-of-substance fraction,1e-05,0.5,mol/mol,5.0,0.2,%,Relative,2.0,95.0,"CRM 112-01-1121N, CRM 112-01-1121P",2022-09-19,Published
APMP-QM-KR-000003Y6-2,Gases,"Other than high purity, environmental, fuel, forensic, or medical",carbon dioxide,methane,Amount-of-substance fraction,0.05,0.07,mol/mol,1.5,1.5,%,Relative,2.0,95.0,CRM 112-01-6871P,2022-09-19,Published
APMP-QM-KR-00000NMD-1,Food,Nutritional constituents,linoleic acid,spinach,Mass fraction (dry mass correction),10.0,10000.0,mg/kg,10.0,2.0,%,Relative,2.6,95.0,CRM 108-05-010,2022-05-13,Published
APMP-QM-KR-00000NME-1,Food,Nutritional constituents,alpha-linolenic acid,spinach,Mass fraction (dry mass correction),10.0,30000.0,mg/kg,10.0,1.0,%,Relative,2.3,95.0,CRM 108-05-010,2022-05-13,Published
APMP-QM-KR-00000O8N-1,Water,Fresh water,copper,"natural water, synthetic water and drinking water",Mass fraction,0.003,3.0,mg/kg,2.0,10.0,%,Relative,2.0,95.0,"CRM, Calibration service, Proficiency testing",2023-11-09,Published
APMP-QM-KR-00000O8O-1,Water,Fresh water,iron,"natural water, synthetic water and drinking water",Mass fraction,0.003,10.0,mg/kg,2.0,10.0,%,Relative,2.0,95.0,"CRM, PT providing, calibration service",2023-11-09,Published
APMP-QM-KR-00000OBC-1,Food,Nutritional constituents,copper,oyster,Mass fraction,10.0,1000.0,mg/kg,0.8,10.0,%,Relative,2.0,95.0,"CRM, PT providing, calibration service",2023-11-09,Published
APMP-QM-KR-00000OBS-1,Food,Contaminants,benz(a)anthracene,Soybean oil,Mass fraction,0.5,50.0,µg/kg,5.0,2.0,%,Relative,2.0,95.0,CRM,2023-11-09,Published
APMP-QM-KR-00000OBY-1,Advanced materials,Polymers and plastics,"benzo(g,h,i)perylene",plastic (HIPS),Mass fraction,200.0,2000.0,µg/kg,5.0,2.0,%,Relative,2.0,95.0,CRM 113-03-010,2023-11-09,Published
APMP-QM-KR-00000OBZ-1,Advanced materials,Polymers and plastics,"Indeno(1,2,3-cd)pyrene",plastic (HIPS),Mass fraction,200.0,2000.0,µg/kg,5.0,2.0,%,Relative,2.0,95.0,CRM 113-03-010,2023-11-09,Published
APMP-QM-KR-00000OC0-1,Advanced materials,Polymers and plastics,diisobutyl phthalate,Plastic (PVC),Mass fraction,300.0,1000.0,mg/kg,5.0,2.0,%,Relative,2.0,95.0,CRM 113-03-011,2023-11-09,Published
APMP-QM-KR-00000OCT-1,Food,Contaminants,lead,kimchi cabbage,Mass fraction,0.4,2.0,mg/kg,2.0,5.0,%,Relative,2.0,95.0,"CRM, PT providing, calibration service",2023-11-09,Published
APMP-QM-KR-000000GK-1,Inorganic solutions,Elemental,aluminum,monoelemental aqueous solution,Mass fraction,0.9,1.1,g/kg,0.1,0.5,%,Relative,2.0,95.0,CRM 105-02-001,2013-03-12,Published
APMP-QM-KR-000000GM-1,Inorganic solutions,Elemental,boron,monoelemental aqueous solution,Mass fraction,0.9,1.1,g/kg,0.1,0.5,%,Relative,2.0,95.0,CRM 105-02-005,2013-03-12,Published
APMP-QM-KR-000000GO-1,Inorganic solutions,Elemental,chromium,monoelemental aqueous solution,Mass fraction,0.9,1.1,g/kg,0.1,0.5,%,Relative,2.0,95.0,CRM 105-02-008,2013-03-12,Published
APMP-QM-KR-000000GP-1,Inorganic solutions,Elemental,cobalt,monoelemental aqueous solution,Mass fraction,0.9,1.1,g/kg,0.1,0.5,%,Relative,2.0,95.0,CRM 105-02-009,2013-03-12,Published
APMP-QM-KR-000000GQ-1,Inorganic solutions,Elemental,copper,monoelemental aqueous solution,Mass fraction,0.9,1.1,g/kg,0.1,0.5,%,Relative,2.0,95.0,CRM 105-02-010,2013-03-12,Published
APMP-QM-KR-000000GX-1,Inorganic solutions,Elemental,nickel,monoelemental aqueous solution,Mass fraction,0.9,1.1,g/kg,0.1,0.5,%,Relative,2.0,95.0,CRM 105-02-021,2013-03-12,Published
APMP-QM-KR-000000H4-1,Inorganic solutions,Elemental,zinc,monoelemental aqueous solution,Mass fraction,0.9,1.1,g/kg,0.1,0.5,%,Relative,2.0,95.0,CRM 105-02-032,2013-03-12,Published
APMP-QM-KR-000000H8-1,Inorganic solutions,Elemental,beryllium,monoelemental aqueous solution,Mass fraction,0.9,1.1,g/kg,0.1,0.5,%,Relative,2.0,95.0,CRM 105-02-004,2013-03-12,Published
APMP-QM-KR-000000HD-1,Inorganic solutions,Elemental,lithium,monoelemental aqueous solution,Mass fraction,0.9,1.1,g/kg,0.1,0.5,%,Relative,2.0,95.0,CRM 105-02-016,2013-03-12,Published
APMP-QM-KR-000000HF-1,Inorganic solutions,Elemental,silver,monoelemental aqueous solution,Mass fraction,0.9,1.1,g/kg,0.1,0.5,%,Relative,2.0,95.0,CRM 105-02-026,2013-03-12,Published
APMP-QM-KR-000000IB-1,Advanced materials,Polymers and plastics,"BDE 154 (2,2',4,4',5,6-hexabromodiphenyl ether)",plastic (HIPS),Mass fraction,1.0,1000.0,mg/kg,5.0,30.0,%,Relative,2.0,95.0,CRM,2010-07-19,Published
APMP-QM-KR-000000IE-1,Advanced materials,Polymers and plastics,BDE 209 (decabromodiphenyl ether),plastic (HIPS),Mass fraction,1.0,1000.0,mg/kg,5.0,30.0,%,Relative,2.0,95.0,CRM,2010-07-19,Published
APMP-QM-KR-000000IF-1,Advanced materials,Polymers and plastics,cadmium,ABS,Mass fraction,1.0,200.0,mg/kg,1.0,5.0,%,Relative,2.0,95.0,"CRM 113-01-011, CRM 113-01-012, CRM 113-01-013, CRM 113-01-014, CRM 113-01-015",2012-09-06,Published
APMP-QM-KR-000000IJ-1,Advanced materials,Polymers and plastics,lead,ABS,Mass fraction,10.0,2000.0,mg/kg,1.0,5.0,%,Relative,2.0,95.0,"CRM 113-01-011, CRM 113-01-012, CRM 113-01-013, CRM 113-01-014, CRM 113-01-015",2012-09-06,Published
APMP-QM-KR-000000IK-1,Advanced materials,Polymers and plastics,antimony,ABS,Mass fraction,10.0,2000.0,mg/kg,1.0,5.0,%,Relative,2.0,95.0,"CRM 113-01-011, CRM 113-01-012, CRM 113-01-013, CRM 113-01-014, CRM 113-01-015",2012-09-06,Published
APMP-QM-KR-000000IQ-1,Advanced materials,Polymers and plastics,mercury,polypropylene (PP),Mass fraction,10.0,2000.0,mg/kg,1.0,5.0,%,Relative,2.0,95.0,"CRM 113-01-001, CRM 113-01-002, CRM 113-01-003, CRM 113-01-004, CRM 113-01-005",2013-06-13,Published
APMP-QM-KR-000000IT-1,"Surfaces, films, and engineered nanomaterials",Inorganic,silicon dioxide,thermal silicon oxide on Si single crystal,Amount of SiO2 expressed as thickness of SiO2 on Si,1.5,8.0,nm,3.8,5.6,%,Relative,2.0,95.0,CRM 102-04-021,2013-06-13,Published
